dimension,sv_20k,sv_50k_original,sv_50k_aligned,absolute_change,relative_change_%,energy_20k_%,energy_50k_aligned_%,status
82,0.26434416,0.3643632,0.36436328,0.10001913,37.83670961856842,0.04664810639295643,0.02574077078984666,changed
83,0.2610973,0.35736483,0.35736513,0.09626782,36.87047362327576,0.04550922018264398,0.02476148493617684,changed
84,0.24613133,0.3510997,0.3511,0.10496867,42.64742136001587,0.040441605816034516,0.02390088531336366,changed
85,0.24203093,0.3225386,0.32253873,0.0805078,33.26343297958374,0.039105365015291896,0.020170473209755044,changed
86,0.23850575,0.31580386,0.31580397,0.077298224,32.4093759059906,0.037974520858762476,0.019336929706324796,changed
87,0.2313377,0.30698347,0.30698344,0.075645745,32.69927203655243,0.035726247728623144,0.01827183793510448,changed
88,0.22495835,0.29541102,0.29541114,0.070452794,31.31815195083618,0.03378304642495805,0.016920222549679353,changed
89,0.2189583,0.28113192,0.281132,0.06217371,28.39522659778595,0.03200497045343319,0.015324028039248073,changed
90,0.21662028,0.28003907,0.28003913,0.06341885,29.27650511264801,0.03132512577259174,0.015205117451060155,changed
91,0.21605314,0.27554926,0.27554926,0.05949612,27.537724375724792,0.031161314528021372,0.014721458579780846,changed
92,0.20552705,0.25802788,0.25802797,0.05250092,25.544530153274536,0.02819892674755197,0.01290880107992581,changed
93,0.20284891,0.25290698,0.25290707,0.050058156,24.67755675315857,0.02746881690632228,0.012401501395850051,changed
94,0.19927321,0.24785501,0.24785508,0.04858187,24.37952756881714,0.026508944875711326,0.011910993599061375,changed
95,0.1913242,0.2384929,0.238493,0.04716879,24.653854966163635,0.02443624234134213,0.011028173535338576,changed
96,0.18377866,0.23339096,0.233391,0.049612343,26.9957035779953,0.022546791380942316,0.010561377132662895,changed
97,0.18029743,0.22882879,0.22882882,0.048531383,26.91740095615387,0.021700697127466667,0.010152517988112784,changed
98,0.17690468,0.22500603,0.22500609,0.04810141,27.19058096408844,0.02089167344196482,0.009816142964745662,changed
99,0.17180188,0.2189784,0.21897833,0.04717645,27.459797263145447,0.019703819307562705,0.009297252271900702,changed
100,0.16666247,0.21569437,0.21569453,0.049032062,29.419979453086853,0.018542582400009465,0.009020499877231022,changed
101,0.16236332,0.20082529,0.2008253,0.038461983,23.68883788585663,0.017598288853196167,0.007819683938244736,changed
102,0.15554439,0.19717897,0.19717906,0.04163468,26.767072081565857,0.016151143296262407,0.007538309020616316,changed
103,0.15298513,0.19051415,0.19051422,0.037529096,24.531206488609314,0.015624027983031256,0.0070373173600202996,changed
104,0.14933705,0.1836361,0.18363614,0.03429909,22.967569530010223,0.014887773317285755,0.006538357505922075,changed
105,0.14510937,0.18224727,0.18224734,0.03713797,25.593090057373047,0.014056768988039866,0.006439834914638368,changed
106,0.14100628,0.17561631,0.17561643,0.034610152,24.54511523246765,0.013273072856834062,0.0059797443170171456,changed
107,0.13823518,0.17108087,0.17108092,0.032845736,23.76076430082321,0.012756506859303404,0.005674864209792822,changed
108,0.13357477,0.16694722,0.16694726,0.03337249,24.984128773212433,0.011910869195139624,0.005403945102449227,changed
109,0.13113143,0.15627345,0.15627351,0.025142089,19.17319893836975,0.011479108398799261,0.004735033877310722,changed
110,0.124168515,0.1492913,0.14929146,0.02512294,20.23293972015381,0.010292421613184721,0.004321377837881933,changed
111,0.12357282,0.14456198,0.14456195,0.020989127,16.985230147838593,0.010193903078119498,0.004051914834218595,changed
112,0.11856287,0.13901688,0.13901702,0.020454146,17.25172996520996,0.00938408639310379,0.0037470393762566055,changed
113,0.11317406,0.13471243,0.13471246,0.0215384,19.031216204166412,0.008550438208455094,0.0035185834311190728,changed
114,0.110012874,0.1345616,0.13456169,0.024548814,22.314491868019104,0.008079446569086976,0.003510711853566721,changed
115,0.109056145,0.13125162,0.13125171,0.022195563,20.3524187207222,0.007939531491146725,0.0033401214597708283,changed
116,0.10351161,0.1208462,0.12084617,0.017334558,16.746486723423004,0.007152744502054116,0.0028315099759676147,changed
117,0.09762321,0.116698585,0.11669859,0.019075386,19.539807736873627,0.0063621035049782025,0.0026404842033634227,changed
118,0.096222766,0.110518016,0.11051807,0.014295302,14.85646516084671,0.006180879313892902,0.0023682028733907866,changed
119,0.09435326,0.10558269,0.105582684,0.011229426,11.901471018791199,0.005943036528737995,0.002161412868073413,changed
120,0.08723274,0.10321849,0.10321855,0.01598581,18.32547038793564,0.00507988180608157,0.0020657027395436607,changed
