dimension,sv_20k,sv_50k_original,sv_50k_aligned,absolute_change,relative_change_%,energy_20k_%,energy_50k_%,energy_50k_aligned_%,energy_change_%,cumulative_energy_20k_%,cumulative_energy_50k_aligned_%,status,is_optimal_dim,alignment_effect
49,1.125385,1.2070022,1.2060987,0.08071363,7.172090121681488,0.32080425660752054,0.2029302599407837,0.21810303318326218,-0.10270122342425836,95.24871110916138,96.74919843673706,changed,True,-0.0009034872
50,1.0904478,1.1883422,1.1749609,0.08451307,7.7503085863001875,0.3011948835853969,0.1967042596758367,0.20698687962165527,-0.09420800396374165,95.54990530014038,96.95618748664856,changed,True,-0.013381362
51,1.0627872,1.1669635,1.1655178,0.10273063,9.666152755502075,0.28610829695829854,0.18969034602813875,0.20367318293628467,-0.08243511402201387,95.83601355552673,97.15986251831055,changed,True,-0.001445651
52,1.0518743,1.1377088,1.142197,0.09032273,8.586837289994238,0.2802628371865457,0.1802988417133108,0.19560414981931443,-0.08465868736723128,96.1162805557251,97.35547304153442,changed,True,0.0044882298
53,1.0288229,1.1046933,1.0800804,0.05125749,4.982149130169368,0.26811374936428917,0.16998638962963886,0.1749074009092627,-0.09320634845502646,96.38439416885376,97.53037691116333,stable,True,-0.024612904
54,0.9932965,1.0480576,1.047783,0.054486513,5.485422823072473,0.2499169177301361,0.15300336482690127,0.1646033744086217,-0.08531354332151442,96.6343104839325,97.69498109817505,changed,True,-0.000274539
55,0.9660408,1.0469759,1.0267473,0.060706556,6.284057201350432,0.23638982056647237,0.15268769683887154,0.15806044560790458,-0.07832937495856779,96.87069654464722,97.85303473472595,changed,True,-0.020228505
56,0.93809,1.0257483,1.020526,0.082436025,8.787645408843654,0.2229086283024275,0.14655893039784257,0.15615080069273032,-0.06675782760969717,97.09360003471375,98.009192943573,changed,True,-0.0052222013
57,0.90176934,1.0015749,1.0055804,0.103811085,11.511933329672825,0.20598176383620864,0.13973254113130315,0.1516106276389687,-0.05437113619723993,97.29958772659302,98.1607973575592,changed,True,0.0040055513
58,0.8780091,0.94518715,0.9385563,0.060547233,6.895968838934606,0.1952701489016395,0.12444181412203477,0.13207380658742734,-0.06319634231421214,97.49485850334167,98.29286932945251,changed,True,-0.006630838
59,0.8498243,0.92996466,0.9296486,0.07982427,9.393031939701933,0.18293472088231597,0.12046575492413832,0.12957870728626775,-0.05335601359604822,97.67779111862183,98.42244982719421,changed,True,-0.00031608343
60,0.8358584,0.8726758,0.8688863,0.033027887,3.951373481107346,0.17697147454615306,0.10608074403904441,0.11319361120474525,-0.06377786334140781,97.85476922988892,98.53563904762268,stable,True,-0.0037894845
61,0.8248018,0.85821927,0.8574604,0.032658577,3.9595666324964673,0.17232053924470622,0.10259524532928316,0.1102361781315799,-0.06208436111312632,98.02708625793457,98.64587783813477,stable,True,-0.00075888634
62,0.80054957,0.84959966,0.8386599,0.038110316,4.760519195566045,0.16233579632686157,0.10054474437080575,0.10545514230617206,-0.05688065402068951,98.18941950798035,98.75133633613586,stable,True,-0.010939777
63,0.75143474,0.8012701,0.8044476,0.053012848,7.054883788465795,0.14302777566771596,0.08943110947315679,0.09702676137864127,-0.04600101428907469,98.33245277404785,98.84836077690125,changed,True,0.003177464
64,0.73892426,0.7883024,0.7789169,0.03999263,5.412277330112554,0.13830494189884815,0.08655983826741755,0.09096582706857315,-0.047339114830275,98.47074151039124,98.93933534622192,changed,True,-0.009385526
65,0.7160626,0.7688959,0.76593274,0.049870133,6.964493470017658,0.1298792675629544,0.08235042264230054,0.08795839391083403,-0.04192087365212037,98.60062599182129,99.02729392051697,changed,True,-0.0029631853
66,0.7007443,0.7524012,0.7552332,0.054488957,7.775869051497494,0.12438183341563827,0.07885507388647955,0.08551813146270655,-0.03886370195293172,98.7250030040741,99.1128146648407,changed,True,0.002832055
67,0.67761445,0.7313534,0.7226263,0.045011878,6.64269747741699,0.11630627860281,0.07450497734221406,0.07829311740257948,-0.038013161200230516,98.84130954742432,99.19111132621765,changed,True,-0.008727074
68,0.6617816,0.7100603,0.7073666,0.045584977,6.8882205311052465,0.11093465318330863,0.0702297587047517,0.07502138992381664,-0.035913263259491984,98.95224571228027,99.26612973213196,changed,True,-0.0026937127
69,0.65833426,0.7005449,0.6752364,0.016902149,2.567411400372132,0.1097819015283714,0.06836009517293136,0.0683608919799323,-0.04142100954843911,99.06203150749207,99.33449029922485,stable,True,-0.02530849
70,0.609012,0.66517615,0.6679107,0.058898687,9.671186545918694,0.09394843570882505,0.06163168726410359,0.06688562963397245,-0.027062806074852605,99.15598630905151,99.4013786315918,changed,True,0.002734542
71,0.5987757,0.63337696,0.62272966,0.023953974,4.000492145842232,0.09081679147971947,0.05587985003714087,0.05814269061674043,-0.03267410086297903,99.2467999458313,99.45952296257019,stable,True,-0.010647297
72,0.53038025,0.62015533,0.6152388,0.08485854,15.999565756930442,0.07125453789089692,0.05357123796996649,0.05675229607980842,-0.014502241811088501,99.3180513381958,99.51627254486084,changed,True,-0.0049165487
73,0.52924085,0.60078776,0.58544,0.056199133,10.618820097308964,0.07094871811623739,0.05027740631971013,0.05138788917402471,-0.019560828942212678,99.38899874687195,99.56765174865723,changed,True,-0.015347779
74,0.5141739,0.5633388,0.5633331,0.04915917,9.560805557164139,0.06696655216703562,0.04420486499704817,0.04758023197882376,-0.01938632018821186,99.4559645652771,99.61522817611694,changed,True,-5.722046e-06
75,0.49085736,0.5412882,0.5421879,0.051330566,10.45732839953948,0.06103071550306736,0.040811995445015264,0.04407534427587464,-0.01695537122719272,99.5169997215271,99.65929985046387,changed,True,0.0008997321
76,0.47433499,0.5232353,0.5249457,0.05061069,10.669820463782296,0.05699124669606543,0.03813509404672051,0.04131661661289049,-0.01567463008317494,99.57399368286133,99.70061779022217,changed,True,0.0017103553
77,0.4604588,0.48367164,0.4923644,0.03190562,6.929093830363836,0.053705574795193445,0.032586067546282384,0.0363470630195158,-0.017358511775677647,99.62770342826843,99.73697066307068,changed,True,0.008692771
78,0.43910673,0.4770128,0.47806698,0.03896025,8.87261463556163,0.04884026751601683,0.031695003541098485,0.034266797796817045,-0.014573469719199789,99.67653751373291,99.77123737335205,changed,True,0.0010541677
79,0.42241964,0.43986255,0.4396321,0.01721245,4.074727823847077,0.04519871011595453,0.02695036732368752,0.028978425879585906,-0.01622028423636862,99.72173571586609,99.80022311210632,stable,True,-0.00023046136
80,0.40137675,0.42564997,0.42503303,0.023656279,5.89378398333288,0.04080771477766051,0.025236895579958844,0.027085782843871156,-0.013721931933789351,99.7625470161438,99.82730150222778,changed,True,-0.0006169379
81,0.36606252,0.4154794,0.40531814,0.03925562,10.723747088583838,0.03394285562720008,0.024045271736612712,0.024631343926383067,-0.00931151170081701,99.7964859008789,99.85193610191345,changed,True,-0.010161251
82,0.35611922,0.39905968,0.39437205,0.03825283,10.741580018973142,0.03212392905218096,0.022182292190049968,0.023318911344081837,-0.008805017708099126,99.82861280441284,99.87525343894958,changed,True,-0.004687637
83,0.33103204,0.37606278,0.37719095,0.04615891,13.9439403205674,0.027757343313796264,0.019699328426096993,0.021331360074438473,-0.00642598323935779,99.85637664794922,99.89657998085022,changed,True,0.0011281669
84,0.3213706,0.347362,0.35130757,0.02993697,9.315403810070313,0.026160746580105698,0.01680719958957701,0.018504231055958168,-0.00765651552414753,99.88253116607666,99.91508722305298,changed,True,0.0039455593
85,0.29663858,0.32785422,0.33340287,0.036764294,12.393632049707533,0.022289129311324384,0.01497242894863252,0.01666612740977598,-0.005623001901548404,99.90481734275818,99.93175268173218,changed,True,0.005548656
86,0.28533694,0.31229478,0.31298172,0.027644783,9.6884697457324,0.020623095153861227,0.01358501644484415,0.014687030038845413,-0.005936065115015814,99.92544054985046,99.94643926620483,changed,True,0.00068694353
87,0.26113752,0.2888356,0.296396,0.035258472,13.501879234359848,0.017273342212751983,0.011620695228141228,0.013171664604413623,-0.00410167760833836,99.94271993637085,99.95960593223572,changed,True,0.007560402
88,0.25681418,0.26282406,0.2632234,0.006409228,2.495667412336451,0.016706129650422667,0.009621902454309826,0.010388313444833118,-0.006317816205589549,99.95941519737244,99.97000098228455,stable,True,0.00039935112
89,0.23476402,0.25814366,0.25787282,0.023108795,9.84341417440356,0.013960498758575813,0.00928225837403483,0.009970275592016437,-0.003990223166559377,99.97337460517883,99.97997879981995,changed,True,-0.0002708435
90,0.21678497,0.24243155,0.23923899,0.022454023,10.357739956466784,0.011904089278607607,0.008186702255592303,0.008581435709698366,-0.003322653568909241,99.98528361320496,99.9885618686676,changed,True,-0.003192559
91,0.19177194,0.20918465,0.20927165,0.017499715,9.125274081135666,0.009315538449899177,0.006095233204333963,0.00656624132161771,-0.0027492971282814666,99.99459385871887,99.99513030052185,changed,True,8.700788e-05
92,0.14601408,0.18416214,0.18024765,0.03423357,23.445389789817,0.005400417198443048,0.004724234210967903,0.0048711919633061184,-0.0005292252351369294,100.0,100.0,changed,True,-0.0039144903
