ratio,seed,iter,BRC_star_adapted,WRC_star,collapse_score,direction_diversity,effective_rank,norm_variance,row_norm_std,sigma_weight,token_spread
7,42,16000,0.307738,0.214319,1.262873,0.667773,70.032108,0.858009,0.926288,0.926288,0.163072
20,123,24000,0.375080,0.207622,1.292768,0.643137,70.025897,1.104699,1.051047,1.051047,0.176046
8,123,18000,0.313064,0.208056,1.258239,0.666417,70.024628,0.880765,0.938491,0.938491,0.165119
6,42,15000,0.297069,0.215525,1.248662,0.673155,70.024428,0.826102,0.908901,0.908901,0.161756
10,456,20000,0.308736,0.214701,1.216094,0.675017,70.022858,0.902511,0.950006,0.950006,0.167235
20,123,25000,0.372857,0.209000,1.278459,0.646133,70.020588,1.110210,1.053665,1.053665,0.176792
12,123,20000,0.340472,0.207527,1.292092,0.653701,70.013109,0.966632,0.983174,0.983174,0.168014
9,123,18000,0.329646,0.204849,1.287778,0.656946,70.008135,0.923362,0.960917,0.960917,0.166392
15,123,20000,0.376505,0.208691,1.358683,0.633515,70.006566,1.055432,1.027342,1.027342,0.169735
4,42,13000,0.279631,0.221309,1.245300,0.678803,69.997520,0.757928,0.870591,0.870591,0.157927
12,456,23000,0.333066,0.215258,1.223569,0.667461,69.992180,1.003171,1.001585,1.001585,0.171778
5,456,15000,0.280281,0.211086,1.215629,0.683973,69.991946,0.786572,0.886889,0.886889,0.159970
7,123,15000,0.311648,0.205604,1.304243,0.659646,69.988642,0.838430,0.915658,0.915658,0.160959
0,123,14000,0.214797,0.228598,1.062093,0.728500,69.985038,0.625920,0.791151,0.791151,0.155627
10,123,17000,0.329308,0.205594,1.315816,0.652266,69.984070,0.896831,0.947012,0.947012,0.164273
3,456,13000,0.268222,0.213407,1.223246,0.686662,69.983003,0.732764,0.856016,0.856016,0.156153
20,456,24000,0.377017,0.214910,1.307411,0.640894,69.965152,1.102242,1.049877,1.049877,0.174670
2,123,18000,0.269812,0.221825,1.139355,0.699157,69.964751,0.804350,0.896856,0.896856,0.164047
2,123,19000,0.270797,0.222584,1.127986,0.700546,69.956078,0.817761,0.904302,0.904302,0.165477
8,456,19000,0.307292,0.213868,1.228010,0.674041,69.941435,0.888744,0.942732,0.942732,0.165437
9,42,16000,0.309036,0.207351,1.273855,0.665533,69.938334,0.853711,0.923965,0.923965,0.162563
20,123,22000,0.376346,0.206655,1.317047,0.639169,69.937800,1.087844,1.042998,1.042998,0.173970
12,42,28000,0.302117,0.221360,1.107592,0.694566,69.937133,0.978400,0.989141,0.989141,0.175764
15,42,44000,0.319703,0.247859,1.037734,0.702158,69.917594,1.152185,1.073399,1.073399,0.187012
12,42,25000,0.315656,0.217257,1.162492,0.681646,69.913060,0.983125,0.991527,0.991527,0.173854
0,456,15000,0.195096,0.241225,0.970888,0.749739,69.907092,0.607733,0.779572,0.779572,0.157765
20,42,23000,0.398774,0.201499,1.354347,0.627746,69.906492,1.147559,1.071242,1.071242,0.174859
8,42,19000,0.320923,0.216458,1.244108,0.666669,69.905326,0.926942,0.962778,0.962778,0.167927
1,42,14000,0.232450,0.237081,1.089739,0.718399,69.887928,0.681381,0.825458,0.825458,0.158411
12,42,24000,0.317808,0.215759,1.178134,0.678603,69.885229,0.977790,0.988832,0.988832,0.172802
0,42,10000,0.200254,0.233115,1.064957,0.733514,69.880830,0.564692,0.751460,0.751460,0.150232
20,123,33000,0.376530,0.219115,1.200784,0.657544,69.879630,1.208897,1.099499,1.099499,0.185194
20,123,28000,0.379204,0.212454,1.256084,0.648113,69.873799,1.161289,1.077631,1.077631,0.180146
20,123,26000,0.380723,0.209802,1.277498,0.644295,69.869335,1.145613,1.070333,1.070333,0.178439
20,123,34000,0.373662,0.220765,1.187846,0.660426,69.868036,1.210844,1.100384,1.100384,0.185874
2,456,18000,0.252912,0.226556,1.098871,0.710801,69.865903,0.764796,0.874526,0.874526,0.163178
1,42,13000,0.236190,0.233550,1.115788,0.713322,69.862372,0.678791,0.823888,0.823888,0.156929
9,456,25000,0.293849,0.221262,1.129339,0.693884,69.862039,0.921457,0.959926,0.959926,0.171058
20,123,23000,0.384530,0.206270,1.315820,0.637163,69.856010,1.123149,1.059787,1.059787,0.175750
6,456,19000,0.298422,0.218148,1.189554,0.683003,69.843420,0.886240,0.941403,0.941403,0.166484
0,456,16000,0.196658,0.243451,0.960851,0.750702,69.842654,0.622277,0.788845,0.788845,0.159456
5,123,17000,0.298402,0.211900,1.238228,0.674379,69.829467,0.839805,0.916409,0.916409,0.162973
20,123,32000,0.377531,0.218020,1.212973,0.655443,69.828035,1.200562,1.095702,1.095702,0.184060
2,456,17000,0.257775,0.224931,1.123090,0.705532,69.826936,0.766311,0.875392,0.875392,0.162195
7,456,22000,0.302942,0.219684,1.171856,0.684212,69.825971,0.920297,0.959321,0.959321,0.169476
15,123,21000,0.393425,0.207973,1.369859,0.627241,69.824306,1.113957,1.055441,1.055441,0.172115
20,123,27000,0.386337,0.210142,1.274224,0.643316,69.821642,1.173180,1.083135,1.083135,0.179923
4,123,15000,0.292112,0.215455,1.255544,0.673465,69.814218,0.800275,0.894581,0.894581,0.160074
12,456,24000,0.345425,0.216757,1.231656,0.662847,69.811722,1.049674,1.024536,1.024536,0.173740
10,42,22000,0.316810,0.215430,1.207434,0.674024,69.806795,0.944552,0.971881,0.971881,0.169974
0,123,15000,0.227592,0.229341,1.075126,0.722168,69.800504,0.671042,0.819171,0.819171,0.158418
6,123,18000,0.313822,0.210340,1.252416,0.667685,69.798141,0.891800,0.944352,0.944352,0.165339
7,456,21000,0.305943,0.217903,1.188353,0.680748,69.791285,0.918359,0.958311,0.958311,0.168651
1,456,17000,0.246141,0.229366,1.097711,0.712541,69.791252,0.733192,0.856266,0.856266,0.161871
10,456,21000,0.323342,0.215376,1.229814,0.668738,69.786260,0.952751,0.976090,0.976090,0.169360
3,123,16000,0.291202,0.215901,1.235810,0.677295,69.785861,0.814290,0.902380,0.902380,0.161128
1,123,15000,0.250485,0.223549,1.141179,0.704687,69.780870,0.719450,0.848204,0.848204,0.158778
12,42,29000,0.309859,0.222267,1.109686,0.692276,69.779672,1.013921,1.006936,1.006936,0.177307
20,123,29000,0.384300,0.213501,1.251826,0.647546,69.775080,1.188878,1.090357,1.090357,0.181552
8,123,19000,0.332813,0.208332,1.279125,0.657595,69.756983,0.944759,0.971987,0.971987,0.167687
15,456,26000,0.361289,0.218476,1.236640,0.658204,69.745874,1.117317,1.057032,1.057032,0.176391
20,123,31000,0.384477,0.216113,1.231499,0.650732,69.742016,1.211778,1.100808,1.100808,0.183612
10,456,23000,0.327150,0.218997,1.214968,0.669955,69.737460,0.982534,0.991229,0.991229,0.171649
0,456,17000,0.198958,0.245312,0.954078,0.751073,69.732672,0.638822,0.799264,0.799264,0.160908
12,456,26000,0.350656,0.219326,1.221589,0.662925,69.732439,1.082205,1.040291,1.040291,0.175932
3,42,12000,0.286136,0.221720,1.269294,0.673560,69.729513,0.768312,0.876534,0.876534,0.157182
12,456,25000,0.350073,0.217906,1.230003,0.661845,69.726920,1.071730,1.035244,1.035244,0.174922
3,42,13000,0.286306,0.223864,1.245810,0.676993,69.726022,0.785666,0.886378,0.886378,0.159275
20,123,35000,0.379953,0.222740,1.187853,0.658933,69.724559,1.241029,1.114015,1.114015,0.187129
0,123,16000,0.229216,0.230364,1.064326,0.723363,69.723096,0.686548,0.828582,0.828582,0.159917
15,123,23000,0.405152,0.208027,1.361343,0.625531,69.719572,1.170588,1.081937,1.081937,0.175073
9,123,19000,0.349774,0.205390,1.306036,0.648533,69.716115,0.990394,0.995185,0.995185,0.169109
7,42,17000,0.326438,0.215425,1.279510,0.659897,69.715949,0.921254,0.959820,0.959820,0.165807
1,42,15000,0.237792,0.239888,1.082712,0.717813,69.715450,0.710098,0.842673,0.842673,0.160630
4,456,16000,0.278943,0.216092,1.191727,0.688192,69.713589,0.800306,0.894598,0.894598,0.161644
5,42,14000,0.310358,0.214871,1.289340,0.662523,69.713323,0.845742,0.919642,0.919642,0.161744
20,123,30000,0.390944,0.214034,1.248607,0.646285,69.713289,1.221577,1.105250,1.105250,0.183288
10,123,18000,0.347721,0.206684,1.331442,0.644697,69.700193,0.957771,0.978658,0.978658,0.166856
12,123,21000,0.361931,0.207554,1.313434,0.644559,69.695142,1.036852,1.018260,1.018260,0.170620
9,42,18000,0.325530,0.210574,1.270085,0.661324,69.686601,0.923872,0.961183,0.961183,0.166656
7,123,16000,0.331219,0.206158,1.321916,0.651317,69.684009,0.902340,0.949916,0.949916,0.163771
15,42,45000,0.330108,0.250932,1.047478,0.698035,69.682448,1.195085,1.093199,1.093199,0.188278
5,456,16000,0.299745,0.212364,1.236510,0.675073,69.676700,0.851002,0.922498,0.922498,0.162778
15,42,48000,0.329988,0.259153,1.032776,0.700352,69.676567,1.212755,1.101252,1.101252,0.190138
15,42,47000,0.329829,0.256532,1.037147,0.699722,69.674773,1.206507,1.098411,1.098411,0.189523
20,456,25000,0.397417,0.216455,1.324951,0.632930,69.672613,1.172185,1.082675,1.082675,0.177044
1,42,16000,0.236942,0.242357,1.063898,0.721015,69.671749,0.721313,0.849302,0.849302,0.162229
10,456,22000,0.335078,0.216351,1.236817,0.664314,69.670719,0.996386,0.998191,0.998191,0.171411
9,42,17000,0.326353,0.209110,1.287436,0.658524,69.665338,0.913385,0.955712,0.955712,0.165238
8,456,20000,0.324707,0.214680,1.244549,0.666602,69.652749,0.948545,0.973933,0.973933,0.167887
15,123,24000,0.406828,0.209266,1.351422,0.626795,69.650524,1.188305,1.090094,1.090094,0.176157
15,123,22000,0.407557,0.208186,1.377586,0.622326,69.649594,1.164510,1.079125,1.079125,0.174156
20,42,24000,0.420158,0.201064,1.372514,0.619370,69.647867,1.218478,1.103847,1.103847,0.177324
2,123,20000,0.288396,0.222854,1.149722,0.692012,69.647269,0.876817,0.936385,0.936385,0.167881
2,456,19000,0.263205,0.226981,1.105121,0.706808,69.646638,0.805904,0.897722,0.897722,0.165303
15,42,46000,0.332429,0.253747,1.045747,0.697649,69.643882,1.208858,1.099481,1.099481,0.189125
7,42,21000,0.327971,0.222163,1.219326,0.668937,69.637937,0.981409,0.990661,0.990661,0.171513
6,42,16000,0.320189,0.217780,1.273264,0.662637,69.635314,0.900778,0.949093,0.949093,0.164960
4,42,14000,0.301284,0.222807,1.265820,0.669283,69.633754,0.829928,0.911004,0.911004,0.161267
12,456,27000,0.355663,0.219621,1.218809,0.662114,69.618448,1.107991,1.052612,1.052612,0.177226
3,456,14000,0.289506,0.214113,1.246133,0.676848,69.615527,0.802604,0.895881,0.895881,0.159324
7,42,18000,0.333390,0.215896,1.274512,0.658712,69.611511,0.954256,0.976860,0.976860,0.167779
7,456,23000,0.314488,0.220911,1.180380,0.679764,69.608025,0.964426,0.982052,0.982052,0.171299
8,42,20000,0.338890,0.217119,1.259300,0.659438,69.601288,0.990207,0.995091,0.995091,0.170438
9,456,26000,0.309777,0.222223,1.147372,0.686633,69.593456,0.977218,0.988543,0.988543,0.173117
10,456,24000,0.335254,0.220322,1.217742,0.667293,69.578159,1.015372,1.007657,1.007657,0.173216
6,456,20000,0.315580,0.219770,1.207320,0.675336,69.574178,0.944827,0.972022,0.972022,0.168913
10,42,23000,0.330929,0.216749,1.219003,0.668374,69.573249,0.995796,0.997896,0.997896,0.172047
3,123,17000,0.305940,0.216843,1.249243,0.670809,69.570728,0.863728,0.929370,0.929370,0.163512
12,42,30000,0.321851,0.222876,1.119589,0.687564,69.558521,1.061171,1.030132,1.030132,0.179063
2,42,13000,0.278855,0.228635,1.220054,0.683552,69.542072,0.776520,0.881203,0.881203,0.159372
20,123,36000,0.391900,0.224653,1.195128,0.654718,69.536037,1.288258,1.135015,1.135015,0.188908
